gameid,type,checkedTeamId,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,TOV,STL,BLK,PF,statsId
29600041,1,1610612738,39,80,3,12,13,21,9,24,33,15,11,6,19,81
29600041,1,1610612754,33,71,5,15,13,20,15,31,46,23,10,7,31,82
29600042,1,1610612759,33,83,2,15,18,26,14,30,44,11,10,3,16,83
29600042,1,1610612764,36,83,7,16,17,19,14,38,52,14,3,3,18,84
29600043,1,1610612741,38,88,6,19,24,32,19,30,49,11,9,3,19,85
29600043,1,1610612748,38,81,4,24,20,27,13,31,44,13,4,6,27,86
29600044,1,1610612766,33,80,5,17,17,22,16,24,40,10,7,1,21,87
29600044,1,1610612747,33,72,4,17,8,11,9,31,40,16,1,7,19,88
29600045,1,1610612742,34,77,9,25,7,12,10,23,33,14,7,2,22,89
29600045,1,1610612765,36,76,11,22,20,23,12,28,40,12,6,4,12,90
29600046,1,1610612749,38,77,2,11,27,32,14,30,44,21,10,5,23,91
29600046,1,1610612637,37,82,1,10,14,22,14,21,35,22,9,1,27,92
29600047,1,1610612751,35,94,1,11,24,27,28,27,55,21,11,4,24,93
29600047,1,1610612753,43,86,5,14,17,28,15,29,44,18,16,8,22,94
29600048,1,1610612743,38,97,11,23,21,25,21,35,56,17,6,8,28,95
29600048,1,1610612745,38,89,9,22,25,34,13,29,42,14,6,4,17,96
29600049,1,1610612756,35,82,4,19,24,29,13,29,42,19,8,7,29,97
29600049,1,1610612760,35,80,9,33,24,42,18,33,51,22,13,7,28,98
29600050,1,1610612744,34,72,7,19,25,27,10,11,21,20,10,3,31,99
29600050,1,1610612752,37,66,4,14,27,30,9,25,34,28,8,4,26,100
29600051,1,1610612737,32,74,4,18,23,37,15,30,45,17,8,5,17,101
29600051,1,1610612758,35,76,4,6,13,16,10,31,41,16,6,3,28,102
29600052,1,1610612750,36,93,3,11,19,28,13,31,44,8,8,10,26,103
29600052,1,1610612757,31,80,5,22,28,35,9,42,51,19,5,8,28,104
29600053,1,1610612738,41,93,7,19,16,23,16,28,44,20,10,5,34,105
29600053,1,1610612755,38,85,6,16,33,48,15,34,49,17,14,8,21,106
29600054,1,1610612766,38,76,10,21,16,21,7,35,42,8,4,4,20,107
29600054,1,1610612764,37,99,4,15,9,18,25,30,55,7,5,3,21,108
29600055,1,1610612751,34,86,5,15,9,15,23,33,56,21,11,16,29,109
29600055,1,1610612753,31,91,4,17,20,30,28,28,56,18,11,8,18,110
29600056,1,1610612748,38,78,6,12,19,29,16,30,46,17,7,5,18,111
29600056,1,1610612749,34,74,2,7,19,22,8,29,37,20,10,4,24,112
29600057,1,1610612747,34,88,7,20,17,29,14,27,41,13,9,6,16,113
29600057,1,1610612761,36,75,10,18,11,20,11,36,47,19,9,9,26,114
29600058,1,1610612739,35,79,8,21,10,14,15,34,49,18,8,6,22,115
29600058,1,1610612637,24,77,2,10,22,29,16,25,41,14,9,4,17,116
29600059,1,1610612741,36,73,9,24,17,21,12,34,46,10,8,2,17,117
29600059,1,1610612765,32,75,8,15,8,14,10,23,33,14,1,2,18,118
29600060,1,1610612759,29,70,2,19,15,25,10,28,38,17,6,12,18,119
29600060,1,1610612760,31,79,4,18,21,24,16,30,46,12,9,1,21,120
29600061,1,1610612743,36,82,2,11,20,26,13,27,40,18,9,6,19,121
29600061,1,1610612744,33,74,5,14,20,22,6,31,37,21,7,10,20,122
29600062,1,1610612746,25,76,1,7,30,42,10,24,34,20,20,7,28,123
29600062,1,1610612752,29,72,2,15,28,34,16,38,54,32,9,8,35,124
29600063,1,1610612755,37,72,9,22,29,39,13,31,44,27,8,8,32,125
29600063,1,1610612756,34,83,3,17,24,34,13,20,33,18,8,5,33,126
29600064,1,1610612766,33,68,5,16,27,40,8,26,34,10,5,2,26,127
29600064,1,1610612749,35,74,6,14,24,33,10,27,37,11,5,3,27,128
29600065,1,1610612754,39,85,2,11,23,32,14,39,53,18,7,5,30,129
29600065,1,1610612764,39,88,4,13,18,32,12,30,42,15,10,6,30,130
29600066,1,1610612738,34,78,5,17,19,26,14,32,46,26,9,2,24,131
29600066,1,1610612741,43,90,3,14,15,25,13,28,41,15,10,4,21,132
29600067,1,1610612742,32,73,9,21,11,20,11,32,43,23,7,5,28,133
29600067,1,1610612748,36,86,5,23,14,25,19,30,49,17,10,5,19,134
29600068,1,1610612745,30,81,5,22,26,34,18,35,53,15,8,7,23,135
29600068,1,1610612762,32,77,1,10,20,31,8,28,36,13,12,3,23,136
29600069,1,1610612757,33,79,6,18,30,38,16,33,49,22,5,7,26,137
29600069,1,1610612758,39,85,5,10,20,29,14,25,39,15,6,8,31,138
29600070,1,1610612739,37,76,11,20,16,24,10,22,32,14,9,7,20,139
29600070,1,1610612743,33,72,7,15,13,14,13,30,43,24,5,4,26,140
29600071,1,1610612746,29,82,2,7,21,27,16,36,52,14,8,2,26,141
29600071,1,1610612750,23,75,1,5,23,30,12,32,44,15,7,9,23,142
29600072,1,1610612737,30,84,10,30,15,19,10,24,34,9,10,4,18,143
29600072,1,1610612747,36,77,6,16,14,20,11,37,48,16,5,12,23,144
29600073,1,1610612757,34,75,7,23,19,24,18,30,48,17,6,3,22,145
29600073,1,1610612759,31,78,5,19,14,19,15,17,32,10,8,4,21,146
29600074,1,1610612752,42,82,8,15,9,14,14,33,47,17,8,3,24,147
29600074,1,1610612637,27,76,6,17,22,28,13,23,36,17,12,7,18,148
29600075,1,1610612743,39,67,8,20,18,32,7,33,40,26,8,4,29,149
29600075,1,1610612761,30,83,7,18,26,34,16,22,38,21,11,5,27,150
