gameid,type,checkedTeamId,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,TOV,STL,BLK,PF,statsId
29900925,1,1610612762,37,78,4,7,29,35,11,32,43,16,6,7,25,8474
29900926,1,1610612745,30,72,8,20,28,32,12,24,36,19,8,2,24,8475
29900926,1,1610612749,41,74,3,9,21,30,11,29,40,15,9,5,26,8476
29900927,1,1610612742,41,79,12,23,16,17,7,27,34,11,9,3,30,8477
29900927,1,1610612759,30,68,4,10,24,34,12,29,41,17,4,5,21,8478
29900928,1,1610612750,40,80,2,7,14,19,3,26,29,8,9,2,18,8479
29900928,1,1610612757,38,74,4,11,12,19,9,32,41,17,2,2,20,8480
29900929,1,1610612760,47,86,7,18,16,18,10,22,32,15,13,7,30,8481
29900929,1,1610612637,45,83,1,7,12,18,11,24,35,17,6,1,26,8482
29900930,1,1610612755,41,82,6,12,11,12,9,27,36,14,10,4,26,8483
29900930,1,1610612762,34,75,8,15,21,28,14,29,43,18,6,3,21,8484
29900931,1,1610612766,40,81,1,8,18,24,10,23,33,14,10,4,22,8485
29900931,1,1610612752,42,76,6,9,28,31,10,29,39,15,6,4,19,8486
29900932,1,1610612737,31,72,2,6,26,34,12,23,35,19,6,4,20,8487
29900932,1,1610612738,49,99,7,17,9,11,18,27,45,13,14,4,27,8488
29900933,1,1610612753,40,82,4,7,7,13,12,34,46,19,4,8,27,8489
29900933,1,1610612761,33,83,3,13,26,32,14,27,41,9,14,5,21,8490
29900934,1,1610612765,30,85,2,15,20,29,14,31,45,18,6,0,26,8491
29900934,1,1610612747,45,92,4,14,16,22,13,36,49,15,7,6,25,8492
29900935,1,1610612745,38,80,6,15,20,23,8,30,38,14,6,5,22,8493
29900935,1,1610612754,42,86,6,15,21,25,10,30,40,11,10,2,22,8494
29900936,1,1610612741,34,81,4,16,20,30,10,35,45,27,10,5,37,8495
29900936,1,1610612744,33,78,5,12,24,38,8,35,43,21,12,7,31,8496
29900937,1,1610612743,41,87,8,19,24,30,13,43,56,13,10,12,19,8497
29900937,1,1610612746,37,104,3,15,10,11,17,34,51,16,6,7,24,8498
29900938,1,1610612756,43,96,4,16,11,12,13,31,44,20,17,4,29,8499
29900938,1,1610612637,28,65,6,16,24,31,7,31,38,27,8,10,20,8500
29900939,1,1610612749,37,87,3,17,13,19,17,30,47,21,7,4,26,8501
29900939,1,1610612751,34,84,6,19,18,23,16,31,47,19,11,2,27,8502
29900940,1,1610612741,30,65,2,4,26,33,5,33,38,18,5,7,20,8503
29900940,1,1610612764,39,88,4,8,19,21,15,33,48,12,14,2,28,8504
29900941,1,1610612739,27,76,5,15,31,41,12,37,49,18,4,9,28,8505
29900941,1,1610612748,33,89,8,22,18,30,14,34,48,13,7,5,39,8506
29900942,1,1610612766,36,85,4,7,23,29,7,29,36,6,7,5,22,8507
29900942,1,1610612754,42,79,5,11,24,29,6,39,45,12,4,8,23,8508
29900943,1,1610612738,40,81,8,17,16,21,14,33,47,16,6,6,26,8509
29900943,1,1610612742,38,87,7,22,16,21,11,29,40,10,7,3,19,8510
29900944,1,1610612743,30,81,2,11,20,26,9,30,39,17,7,9,30,8511
29900944,1,1610612759,31,79,5,11,35,40,14,39,53,15,9,5,30,8512
29900945,1,1610612746,34,77,3,12,12,19,11,37,48,25,7,4,27,8513
29900945,1,1610612758,39,84,5,23,21,27,7,27,34,10,11,4,21,8514
29900946,1,1610612757,38,78,2,10,19,21,12,29,41,17,3,5,24,8515
29900946,1,1610612760,38,81,6,19,14,23,8,26,34,9,7,6,24,8516
29900947,1,1610612747,34,80,5,15,19,32,12,34,46,9,6,4,19,8517
29900947,1,1610612752,33,81,5,10,14,20,13,35,48,12,2,2,25,8518
29900948,1,1610612751,34,73,6,22,14,16,6,29,35,14,6,4,23,8519
29900948,1,1610612762,33,72,3,10,23,26,8,31,39,13,8,0,21,8520
29900949,1,1610612753,35,81,4,8,11,13,13,34,47,28,14,4,28,8521
29900949,1,1610612755,36,78,0,8,17,26,10,29,39,22,14,6,18,8522
29900950,1,1610612737,31,88,3,11,20,30,24,40,64,11,2,0,18,8523
29900950,1,1610612742,34,85,7,17,14,17,11,34,45,3,7,2,22,8524
29900951,1,1610612745,34,74,8,20,22,30,11,28,39,11,5,4,17,8525
29900951,1,1610612761,40,91,3,8,17,20,21,26,47,8,6,10,19,8526
29900952,1,1610612749,29,78,4,9,20,24,12,24,36,15,7,3,13,8527
29900952,1,1610612750,46,82,7,14,10,14,8,31,39,12,11,3,20,8528
29900953,1,1610612744,31,88,1,9,19,30,17,30,47,13,10,5,19,8529
29900953,1,1610612756,37,83,11,18,14,20,14,41,55,19,5,6,26,8530
29900954,1,1610612765,37,76,6,16,21,23,10,17,27,18,19,3,20,8531
29900954,1,1610612637,38,74,8,15,15,17,14,24,38,26,9,5,19,8532
29900955,1,1610612747,38,75,4,9,20,23,7,30,37,14,5,7,22,8533
29900955,1,1610612748,34,81,2,15,19,24,7,25,32,8,7,2,24,8534
29900956,1,1610612766,38,75,3,13,17,27,10,31,41,17,8,11,21,8535
29900956,1,1610612755,42,91,4,8,14,23,18,28,46,14,8,5,25,8536
29900957,1,1610612739,39,83,4,5,16,19,12,32,44,17,9,4,22,8537
29900957,1,1610612745,35,76,3,13,12,23,8,31,39,20,10,6,18,8538
29900958,1,1610612741,34,85,5,18,13,20,18,47,65,23,7,8,30,8539
29900958,1,1610612753,31,83,2,7,24,35,10,29,39,12,17,5,22,8540
29900959,1,1610612738,36,93,4,14,30,34,21,33,54,12,8,2,26,8541
29900959,1,1610612756,37,82,4,16,32,36,11,31,42,15,7,8,25,8542
29900960,1,1610612746,32,79,7,20,22,30,14,32,46,15,8,8,22,8543
29900960,1,1610612764,41,89,6,14,17,22,14,32,46,12,8,6,22,8544
29900961,1,1610612737,33,87,1,8,15,18,18,27,45,13,9,6,18,8545
29900961,1,1610612748,31,81,3,9,12,12,16,29,45,18,5,8,22,8546
29900962,1,1610612751,42,83,5,17,11,18,6,31,37,6,11,6,24,8547
29900962,1,1610612761,32,86,6,20,23,27,21,34,55,13,4,6,15,8548
29900963,1,1610612754,34,74,3,9,24,28,6,32,38,13,7,7,16,8549
29900963,1,1610612752,40,87,3,7,8,10,10,33,43,14,3,2,25,8550
29900964,1,1610612739,45,91,5,10,12,17,14,31,45,17,7,2,28,8551
29900964,1,1610612750,43,89,1,10,24,28,16,28,44,16,8,3,18,8552
29900965,1,1610612742,40,89,4,15,13,14,10,21,31,6,7,3,25,8553
29900965,1,1610612759,33,64,2,6,28,34,8,33,41,17,4,6,22,8554
29900966,1,1610612743,32,82,3,14,16,24,10,33,43,12,4,3,19,8555
29900966,1,1610612762,37,75,7,14,15,22,5,32,37,14,5,9,26,8556
29900967,1,1610612758,35,79,3,10,25,32,14,40,54,19,8,4,21,8557
29900967,1,1610612764,38,99,2,15,8,13,19,23,42,16,9,5,28,8558
29900968,1,1610612765,38,82,4,18,20,25,15,32,47,19,7,3,20,8559
29900968,1,1610612760,35,90,4,21,16,23,18,23,41,14,16,4,25,8560
29900969,1,1610612744,26,76,4,12,26,32,14,29,43,17,9,7,27,8561
29900969,1,1610612637,37,81,2,11,22,37,16,34,50,13,9,8,25,8562
29900970,1,1610612738,41,76,4,8,20,28,7,26,33,15,8,3,27,8563
29900970,1,1610612750,39,81,3,6,28,31,13,29,42,17,11,2,25,8564
29900971,1,1610612741,25,69,3,15,14,17,6,30,36,19,12,2,15,8565
29900971,1,1610612752,33,73,2,11,10,11,9,33,42,17,11,3,20,8566
29900972,1,1610612755,41,74,4,9,20,22,6,30,36,15,7,4,17,8567
29900972,1,1610612761,38,86,2,10,15,22,16,27,43,13,8,3,22,8568
29900973,1,1610612737,36,86,1,12,17,30,11,29,40,16,13,11,26,8569
29900973,1,1610612753,40,88,2,3,21,28,18,39,57,20,9,4,27,8570
29900974,1,1610612766,46,82,6,10,21,27,9,30,39,11,8,5,20,8571
29900974,1,1610612751,40,86,5,19,18,23,15,23,38,12,5,5,21,8572
29900975,1,1610612746,30,76,3,13,15,21,11,30,41,10,3,7,19,8573
29900975,1,1610612759,42,84,3,6,16,25,15,33,48,7,4,6,20,8574
29900976,1,1610612756,46,85,7,13,15,22,15,37,52,26,13,7,27,8575
29900976,1,1610612758,34,87,5,15,20,26,15,21,36,21,12,4,18,8576
29900977,1,1610612744,36,90,2,10,22,34,18,22,40,17,14,3,32,8577
29900977,1,1610612747,42,84,6,19,29,38,17,36,53,21,8,6,30,8578
29900978,1,1610612765,39,75,6,14,20,28,8,31,39,14,10,3,25,8579
29900978,1,1610612757,38,85,4,14,15,21,12,26,38,12,8,5,22,8580
29900979,1,1610612754,27,72,7,21,23,29,10,26,36,18,9,3,18,8581
29900979,1,1610612749,43,85,2,7,17,19,13,34,47,16,15,4,28,8582
29900980,1,1610612739,41,84,3,5,19,22,13,39,52,17,5,2,29,8583
29900980,1,1610612742,36,92,5,19,21,26,17,27,44,13,4,3,25,8584
29900981,1,1610612745,47,82,6,15,10,19,6,34,40,18,9,3,21,8585
29900981,1,1610612746,38,85,3,17,16,21,9,30,39,17,5,6,16,8586
29900982,1,1610612743,27,80,7,17,25,40,13,31,44,14,7,7,28,8587
29900982,1,1610612764,37,85,5,17,21,28,13,42,55,13,2,6,33,8588
29900983,1,1610612737,35,82,2,9,11,14,10,29,39,12,6,3,19,8589
29900983,1,1610612752,39,79,2,7,15,17,7,31,38,14,7,4,19,8590
29900984,1,1610612750,45,89,1,7,25,30,13,30,43,17,17,11,30,8591
29900984,1,1610612751,39,93,8,18,29,35,21,26,47,23,11,2,29,8592
29900985,1,1610612738,42,106,8,20,23,32,20,45,65,16,9,3,35,8593
29900985,1,1610612755,39,97,5,17,34,46,17,40,57,16,7,6,33,8594
29900986,1,1610612745,29,75,8,24,30,34,9,34,43,18,5,9,22,8595
29900986,1,1610612753,45,102,7,11,15,19,22,32,54,9,9,6,25,8596
29900987,1,1610612766,39,79,5,9,19,22,11,37,48,10,7,12,14,8597
29900987,1,1610612761,30,84,8,17,16,17,10,26,36,10,5,6,18,8598
29900988,1,1610612741,24,79,3,10,19,28,8,38,46,12,14,5,23,8599
29900988,1,1610612743,25,75,2,16,16,29,14,41,55,23,6,5,26,8600
29900989,1,1610612748,41,74,5,14,12,14,11,26,37,12,9,4,16,8601
29900989,1,1610612749,36,74,7,14,8,10,12,20,32,17,7,3,20,8602
29900990,1,1610612747,40,83,5,16,24,32,11,27,38,8,11,6,19,8603
29900990,1,1610612756,40,85,8,16,13,18,17,31,48,18,6,0,29,8604
29900991,1,1610612744,31,74,2,10,19,24,15,22,37,17,14,4,25,8605
29900991,1,1610612757,34,68,8,11,20,31,8,25,33,17,13,8,21,8606
29900992,1,1610612765,39,91,5,18,20,27,15,26,41,14,9,3,30,8607
29900992,1,1610612758,36,75,10,28,31,44,12,34,46,19,9,5,27,8608
29900993,1,1610612760,33,66,9,18,20,28,5,31,36,20,7,1,23,8609
29900993,1,1610612762,37,83,3,10,21,27,12,30,42,12,16,3,22,8610
29900994,1,1610612737,29,87,1,7,11,16,15,31,46,12,6,3,16,8611
29900994,1,1610612766,36,84,3,9,11,15,13,38,51,14,6,5,18,8612
29900995,1,1610612742,33,79,7,20,13,16,13,28,41,11,5,4,24,8613
29900995,1,1610612764,36,79,3,14,18,20,15,32,47,12,8,5,24,8614
29900996,1,1610612739,32,78,1,6,11,18,3,28,31,16,11,5,22,8615
29900996,1,1610612759,37,77,5,15,17,22,11,40,51,15,8,9,21,8616
29900997,1,1610612765,50,79,10,16,16,23,11,37,48,15,2,0,26,8617
29900997,1,1610612746,40,84,9,24,18,23,6,16,22,9,9,3,24,8618
29900998,1,1610612762,31,74,2,5,20,33,16,32,48,11,11,6,18,8619
29900998,1,1610612637,28,79,5,16,14,15,17,30,47,17,5,3,27,8620
29900999,1,1610612743,44,88,10,23,14,14,15,36,51,16,3,12,27,8621
29900999,1,1610612751,37,87,8,14,28,33,14,26,40,6,8,5,16,8622
29901000,1,1610612748,28,76,2,16,11,24,11,23,34,16,12,6,22,8623
29901000,1,1610612753,35,78,8,22,16,22,16,32,48,17,11,9,23,8624
29901001,1,1610612754,36,83,7,16,22,24,8,32,40,11,3,9,22,8625
29901001,1,1610612755,47,94,1,10,16,23,15,36,51,7,7,5,26,8626
29901002,1,1610612738,30,74,4,23,20,28,8,28,36,17,5,2,22,8627
29901002,1,1610612749,41,81,3,11,14,21,9,25,34,13,8,7,25,8628
29901003,1,1610612750,40,85,1,8,25,32,14,38,52,18,9,6,28,8629
29901003,1,1610612761,37,89,4,14,23,30,10,27,37,12,12,3,30,8630
29901004,1,1610612741,33,81,2,8,10,11,6,27,33,19,8,4,22,8631
29901004,1,1610612745,45,85,15,32,18,23,11,36,47,12,9,6,14,8632
29901005,1,1610612744,32,83,2,11,16,25,15,26,41,15,15,5,30,8633
29901005,1,1610612756,33,73,0,12,24,32,10,35,45,18,5,12,22,8634
29901006,1,1610612747,34,89,4,11,18,25,15,38,53,9,5,5,15,8635
29901006,1,1610612758,38,87,4,18,9,13,11,33,44,11,5,6,24,8636
29901007,1,1610612752,38,78,7,17,10,11,10,25,35,12,5,4,18,8637
29901007,1,1610612757,36,76,5,15,12,17,14,23,37,14,7,3,16,8638
29901008,1,1610612742,40,69,7,15,26,29,6,32,38,15,5,4,24,8639
29901008,1,1610612762,38,79,7,14,22,31,11,23,34,8,8,6,24,8640
29901009,1,1610612759,38,82,3,9,11,15,15,34,49,15,5,7,13,8641
29901009,1,1610612760,36,89,5,16,5,10,14,26,40,12,8,7,20,8642
29901010,1,1610612754,39,86,7,20,21,23,13,35,48,17,4,2,25,8643
29901010,1,1610612751,41,94,5,14,24,30,14,26,40,6,9,2,24,8644
29901011,1,1610612738,34,92,4,18,15,27,13,20,33,12,6,5,29,8645
29901011,1,1610612753,47,85,5,9,23,33,13,39,52,16,3,10,22,8646
29901012,1,1610612748,28,60,5,14,20,29,9,37,46,22,6,4,29,8647
29901012,1,1610612756,25,78,7,24,21,31,17,21,38,13,9,0,26,8648
29901013,1,1610612737,45,82,1,4,25,31,19,28,47,18,7,8,20,8649
29901013,1,1610612743,43,89,7,17,18,26,15,18,33,12,11,2,24,8650
29901014,1,1610612739,39,80,2,9,16,21,7,32,39,18,10,5,26,8651
29901014,1,1610612761,34,74,11,21,20,24,8,29,37,23,9,10,26,8652
29901015,1,1610612750,39,85,5,8,17,23,13,25,38,14,10,6,24,8653
29901015,1,1610612755,37,76,4,10,24,30,12,31,43,18,11,5,21,8654
29901016,1,1610612744,38,96,2,7,8,15,12,26,38,16,12,3,25,8655
29901016,1,1610612745,44,88,7,23,26,32,15,40,55,16,8,7,13,8656
29901017,1,1610612742,41,85,13,26,17,18,12,29,41,8,5,1,17,8657
29901017,1,1610612746,42,83,5,12,13,15,12,25,37,11,7,4,18,8658
29901018,1,1610612752,38,86,5,18,14,14,11,29,40,15,6,2,22,8659
29901018,1,1610612758,39,77,4,11,21,28,10,28,38,11,8,5,16,8660
29901019,1,1610612757,33,82,5,14,14,18,9,23,32,8,8,4,18,8661
29901019,1,1610612759,33,69,1,10,22,24,8,35,43,16,3,6,22,8662
29901020,1,1610612743,32,66,7,16,30,36,7,38,45,21,5,5,25,8663
29901020,1,1610612764,33,91,6,21,21,24,14,27,41,10,10,2,31,8664
29901021,1,1610612766,35,71,1,8,27,36,5,39,44,12,2,3,25,8665
29901021,1,1610612765,35,91,3,16,18,24,16,30,46,11,6,1,29,8666
29901022,1,1610612741,31,81,6,19,13,18,13,30,43,12,5,5,21,8667
29901022,1,1610612739,32,76,4,7,18,27,10,29,39,8,8,7,21,8668
29901023,1,1610612755,32,77,3,9,17,25,12,22,34,14,6,7,19,8669
29901023,1,1610612762,39,78,3,11,17,17,9,35,44,14,9,7,23,8670
29901024,1,1610612752,43,82,7,13,17,20,18,39,57,19,2,4,26,8671
29901024,1,1610612760,34,81,7,26,20,32,11,19,30,9,13,6,23,8672
29901025,1,1610612747,45,90,6,13,12,19,16,21,37,8,9,5,21,8673
29901025,1,1610612637,40,74,5,14,14,19,11,27,38,16,5,5,20,8674
29901026,1,1610612751,37,78,5,15,28,32,10,30,40,6,3,7,25,8675
29901026,1,1610612761,38,91,4,15,23,30,19,28,47,8,4,6,26,8676
29901027,1,1610612741,27,58,2,9,24,32,6,25,31,21,9,3,28,8677
29901027,1,1610612748,38,71,3,13,26,34,12,27,39,15,17,4,30,8678
29901028,1,1610612737,28,79,2,7,16,19,11,29,40,23,6,4,9,8679
29901028,1,1610612756,49,94,8,12,12,13,12,37,49,9,20,7,18,8680
29901029,1,1610612745,26,70,0,11,38,47,12,23,35,15,6,3,14,8681
29901029,1,1610612750,52,87,6,12,12,16,7,34,41,9,12,1,31,8682
29901030,1,1610612744,36,85,2,9,16,19,10,28,38,11,6,10,26,8683
29901030,1,1610612759,37,78,5,11,23,29,11,33,44,10,7,12,21,8684
29901031,1,1610612746,32,80,6,16,15,20,5,33,38,14,5,4,16,8685
29901031,1,1610612749,43,87,4,8,14,19,8,40,48,12,9,7,20,8686
29901032,1,1610612742,33,78,3,21,16,20,12,21,33,13,10,5,18,8687
29901032,1,1610612757,39,72,6,11,12,19,10,26,36,15,6,2,19,8688
29901033,1,1610612738,38,79,2,7,24,26,14,28,42,14,6,5,26,8689
29901033,1,1610612764,41,82,5,10,17,19,13,22,35,12,4,8,24,8690
29901034,1,1610612751,38,87,4,17,17,24,14,21,35,13,8,2,25,8691
29901034,1,1610612753,43,85,1,7,16,26,19,31,50,19,8,7,21,8692
29901035,1,1610612766,39,79,4,12,28,30,6,34,40,14,10,1,21,8693
29901035,1,1610612761,39,89,7,15,16,21,14,31,45,15,7,5,30,8694
29901036,1,1610612765,33,84,6,18,25,27,20,31,51,15,5,4,19,8695
29901036,1,1610612756,37,79,9,25,15,20,9,25,34,13,8,10,25,8696
29901037,1,1610612754,44,82,9,17,12,16,8,42,50,14,9,3,18,8697
29901037,1,1610612750,35,92,3,10,12,17,16,30,46,14,8,1,18,8698
29901038,1,1610612744,33,91,4,9,27,35,22,22,44,12,8,3,24,8699
29901038,1,1610612762,38,72,7,11,31,36,11,36,47,18,5,9,33,8700
29901039,1,1610612747,42,79,2,10,14,18,12,38,50,16,6,13,20,8701
29901039,1,1610612755,36,96,2,9,14,20,16,22,38,9,12,3,19,8702
29901040,1,1610612758,44,86,6,17,14,18,7,30,37,16,10,6,23,8703
29901040,1,1610612760,49,91,3,14,22,30,12,35,47,13,11,2,19,8704
29901041,1,1610612752,37,82,2,12,13,16,9,27,36,8,7,3,18,8705
29901041,1,1610612637,33,69,5,15,12,14,7,37,44,20,6,6,22,8706
29901042,1,1610612738,36,89,9,27,22,33,14,27,41,13,12,5,28,8707
29901042,1,1610612739,40,80,4,9,25,30,10,37,47,22,7,8,29,8708
29901043,1,1610612766,32,76,4,9,22,30,11,27,38,12,9,2,20,8709
29901043,1,1610612741,35,72,2,7,15,23,6,32,38,16,9,6,25,8710
29901044,1,1610612737,38,103,5,12,12,15,18,26,44,8,8,6,19,8711
29901044,1,1610612745,45,89,4,10,21,27,15,43,58,12,3,11,17,8712
29901045,1,1610612743,40,79,11,20,21,26,10,31,41,10,4,6,25,8713
29901045,1,1610612762,33,76,5,16,21,26,10,24,34,11,4,2,26,8714
29901046,1,1610612749,31,76,2,8,15,25,11,24,35,18,6,4,22,8715
29901046,1,1610612757,43,84,9,23,18,25,14,31,45,10,9,5,26,8716
29901047,1,1610612765,47,93,6,16,13,18,12,39,51,8,7,2,23,8717
29901047,1,1610612751,34,84,5,18,19,29,12,32,44,10,4,2,19,8718
29901048,1,1610612748,31,69,7,16,19,26,11,29,40,13,8,5,25,8719
29901048,1,1610612759,29,65,5,11,21,31,6,26,32,12,9,7,24,8720
29901049,1,1610612754,39,81,10,22,16,18,9,34,43,12,5,9,19,8721
29901049,1,1610612761,31,81,2,16,19,20,13,30,43,10,5,5,16,8722
29901050,1,1610612741,29,71,4,11,21,32,16,36,52,17,4,5,22,8723
29901050,1,1610612739,29,74,4,11,12,15,9,23,32,10,6,3,26,8724
29901051,1,1610612750,33,85,4,8,16,17,14,34,48,18,12,3,17,8725
29901051,1,1610612756,35,77,2,14,15,19,7,32,39,18,14,5,16,8726
29901052,1,1610612747,39,76,4,11,24,30,10,40,50,8,4,9,13,8727
29901052,1,1610612752,34,91,6,14,8,8,12,25,37,7,4,2,23,8728
29901053,1,1610612744,37,85,7,15,32,38,17,25,42,17,8,4,27,8729
29901053,1,1610612749,41,79,5,11,30,39,13,29,42,18,11,4,29,8730
29901054,1,1610612755,40,82,1,4,14,21,16,22,38,18,10,5,24,8731
29901054,1,1610612758,47,83,10,19,13,20,14,26,40,16,9,3,21,8732
29901055,1,1610612757,33,80,5,16,24,30,13,34,47,11,11,1,24,8733
29901055,1,1610612760,32,80,4,19,14,26,13,29,42,16,2,5,29,8734
29901056,1,1610612742,37,79,8,22,18,18,8,37,45,19,8,5,22,8735
29901056,1,1610612637,33,81,1,11,19,26,13,32,45,16,11,4,18,8736
29901057,1,1610612751,33,80,2,13,25,29,12,30,42,12,6,2,25,8737
29901057,1,1610612764,40,76,6,8,16,23,6,30,36,12,3,6,25,8738
29901058,1,1610612753,44,81,7,15,12,17,15,25,40,15,7,4,27,8739
29901058,1,1610612759,37,69,5,14,18,28,9,20,29,13,6,2,22,8740
29901059,1,1610612739,34,71,3,10,14,25,9,21,30,19,8,0,21,8741
29901059,1,1610612748,44,82,6,16,17,21,10,32,42,15,12,3,19,8742
29901060,1,1610612738,42,82,6,12,15,19,5,23,28,15,9,1,32,8743
29901060,1,1610612766,37,65,4,7,34,45,5,35,40,22,9,10,22,8744
29901061,1,1610612765,37,75,3,9,27,39,8,31,39,11,12,4,22,8745
29901061,1,1610612761,33,89,8,21,14,17,18,32,50,18,2,7,27,8746
29901062,1,1610612741,24,67,2,10,23,31,12,33,45,19,6,5,25,8747
29901062,1,1610612749,37,83,3,7,15,20,11,29,40,10,13,4,24,8748
29901063,1,1610612737,34,81,3,9,5,11,9,37,46,17,3,6,19,8749
29901063,1,1610612750,36,95,5,10,9,12,19,33,52,9,8,4,15,8750
29901064,1,1610612742,43,79,13,19,6,8,5,27,32,19,6,9,18,8751
29901064,1,1610612758,46,97,2,15,8,12,19,28,47,13,11,3,12,8752
29901065,1,1610612747,33,82,1,7,17,25,14,34,48,17,8,2,19,8753
29901065,1,1610612756,33,84,3,15,14,19,10,35,45,13,5,7,27,8754
29901066,1,1610612746,39,82,3,8,12,13,12,24,36,14,5,11,30,8755
29901066,1,1610612762,39,76,3,12,22,33,13,28,41,13,3,4,12,8756
29901067,1,1610612743,36,87,9,29,12,19,12,29,41,12,7,6,19,8757
29901067,1,1610612760,41,88,6,15,18,21,12,36,48,11,5,3,19,8758
29901068,1,1610612745,39,82,7,16,15,16,12,39,51,21,3,9,18,8759
29901068,1,1610612637,39,92,4,12,20,24,10,30,40,9,11,9,18,8760
29901069,1,1610612737,34,76,1,9,17,25,12,26,38,14,7,4,23,8761
29901069,1,1610612755,46,84,0,4,15,23,17,28,45,14,8,4,24,8762
29901070,1,1610612738,38,80,10,22,20,33,8,29,37,18,7,2,36,8763
29901070,1,1610612765,31,66,6,15,43,56,6,32,38,14,8,9,28,8764
29901071,1,1610612754,44,82,6,16,11,15,12,30,42,17,7,7,18,8765
29901071,1,1610612751,39,80,3,10,20,21,5,27,32,11,12,1,19,8766
29901072,1,1610612758,39,77,6,11,24,26,10,31,41,15,10,4,17,8767
29901072,1,1610612759,37,80,3,8,21,22,11,22,33,13,9,12,23,8768
29901073,1,1610612744,40,96,6,15,18,26,23,35,58,12,10,2,23,8769
29901073,1,1610612747,40,79,8,14,23,30,7,33,40,10,7,3,21,8770
29901074,1,1610612745,44,71,9,18,21,24,5,29,34,11,3,3,19,8771
29901074,1,1610612757,41,87,9,23,14,18,15,20,35,9,7,5,22,8772
29901075,1,1610612752,33,70,1,9,34,39,13,33,46,17,7,4,21,8773
29901075,1,1610612764,34,84,4,12,20,23,12,20,32,11,11,3,28,8774
29901076,1,1610612766,25,81,2,15,18,25,14,27,41,8,13,3,16,8775
29901076,1,1610612748,31,74,7,14,7,11,13,37,50,17,4,10,22,8776
29901077,1,1610612741,31,70,7,15,21,31,12,33,45,17,6,8,23,8777
29901077,1,1610612749,36,90,1,10,15,21,19,28,47,9,10,5,25,8778
29901078,1,1610612742,44,90,6,17,22,28,14,24,38,10,7,3,22,8779
29901078,1,1610612743,43,85,10,21,19,25,14,30,44,16,6,6,25,8780
29901079,1,1610612756,32,71,0,8,21,26,7,28,35,18,3,6,25,8781
29901079,1,1610612762,40,87,5,11,20,30,19,31,50,9,11,7,23,8782
29901080,1,1610612746,30,65,6,14,24,32,8,23,31,13,6,5,21,8783
29901080,1,1610612750,46,91,7,14,13,16,20,25,45,10,8,5,23,8784
29901081,1,1610612757,34,86,4,16,15,15,15,23,38,12,8,5,20,8785
29901081,1,1610612637,33,66,7,13,16,23,10,29,39,16,10,7,20,8786
29901082,1,1610612738,38,92,6,16,15,17,15,36,51,17,8,5,25,8787
29901082,1,1610612755,36,77,1,5,29,38,7,33,40,14,13,3,18,8788
29901083,1,1610612748,38,76,8,17,19,30,8,42,50,15,2,5,27,8789
29901083,1,1610612751,28,77,2,11,27,35,10,33,43,10,6,2,24,8790
29901084,1,1610612752,36,82,4,16,20,23,12,34,46,20,4,5,22,8791
29901084,1,1610612753,34,80,4,15,17,28,9,27,36,15,13,9,19,8792
29901085,1,1610612766,30,79,3,14,19,32,15,33,48,17,13,3,20,8793
29901085,1,1610612765,35,82,11,25,16,21,12,36,48,17,11,3,25,8794
29901086,1,1610612737,33,81,5,13,13,18,14,28,42,12,7,2,14,8795
29901086,1,1610612761,41,77,7,16,15,18,8,31,39,12,6,2,21,8796
29901087,1,1610612739,39,83,0,3,16,21,15,29,44,15,5,1,24,8797
29901087,1,1610612754,35,78,3,12,22,29,13,30,43,12,8,4,21,8798
29901088,1,1610612744,32,80,2,10,18,22,17,23,40,22,11,1,28,8799
29901088,1,1610612762,38,73,6,14,23,28,9,30,39,19,11,5,20,8800
29901089,1,1610612750,37,81,3,8,18,22,8,37,45,14,6,8,28,8801
29901089,1,1610612758,32,90,4,16,24,32,14,36,50,13,9,2,18,8802
29901090,1,1610612745,44,82,9,22,22,24,9,27,36,17,5,6,19,8803
29901090,1,1610612760,47,101,6,20,16,21,23,23,46,12,10,4,19,8804
29901091,1,1610612737,36,78,2,5,24,28,12,27,39,15,6,6,20,8805
29901091,1,1610612764,41,81,5,10,21,29,15,27,42,9,9,10,26,8806
29901092,1,1610612739,40,83,6,15,31,38,15,42,57,17,8,9,32,8807
29901092,1,1610612765,32,89,6,16,28,38,17,29,46,10,7,6,30,8808
29901093,1,1610612741,26,66,5,11,22,28,7,31,38,15,7,5,17,8809
29901093,1,1610612761,39,75,12,23,8,16,8,30,38,12,10,3,24,8810
29901094,1,1610612749,46,91,5,12,12,17,17,30,47,11,7,9,18,8811
29901094,1,1610612751,40,78,7,14,14,20,8,22,30,11,8,3,21,8812
29901095,1,1610612742,34,83,9,18,21,29,15,25,40,12,12,3,23,8813
29901095,1,1610612746,37,84,9,17,13,16,20,37,57,20,3,5,24,8814
29901096,1,1610612743,38,92,10,19,19,29,19,36,55,10,5,13,22,8815
29901096,1,1610612760,38,86,6,20,15,21,10,29,39,10,5,9,20,8816
29901097,1,1610612747,30,95,3,20,17,24,19,31,50,9,8,5,26,8817
29901097,1,1610612759,35,75,2,9,26,32,8,42,50,9,7,6,23,8818
29901098,1,1610612757,35,63,3,13,25,32,8,23,31,11,3,7,26,8819
29901098,1,1610612637,34,70,3,7,14,23,11,19,30,12,6,2,22,8820
29901099,1,1610612753,38,99,5,16,11,16,22,31,53,12,9,6,21,8821
